isoform	Chromosome 	Strand	 txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	Hugo	alignID	Canonical	length	effective_length	tx_expected_count	txTPM	txFPKM	IsoPct	gene_expected_count	geneTPM	geneFPKM
NM_023928.3	12	+	125549924	125627871	125550130	125626775	18	"125549924,125558421,125561036,125570875,125575971,125587224,125587545,125591666,125599022,125603186,125609250,125609447,125612706,125613880,125618548,125619339,125621207,125626637,"	"125550263,125558525,125561157,125570989,125576069,125587339,125587627,125591814,125599103,125603311,125609315,125609570,125612820,125614006,125618618,125619398,125621410,125627871,"	AACS	NM_023928.3	1	3321	3184.54	4040.00	43.67	24.14	100.00	4040.00	43.67	24.14
NR_024035.1	5	-	178191863	178203277	178203277	178203277	7	"178191863,178194130,178195470,178199429,178201498,178202267,178203142,"	"178193176,178194336,178195665,178199632,178201549,178202337,178203277,"	AACSP1	NR_024035.1	0	2173	2036.54	1.00	0.02	0.01	100.00	1.00	0.02	0.01
NM_001086.2	3	+	151531860	151546276	151531950	151545960	5	"151531860,151535153,151538170,151542450,151545363,"	"151532088,151535376,151538240,151542622,151546276,"	AADAC	NM_001086.2	1	1606	1469.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_207365.3	3	+	151451703	151475556	151451823	151475382	5	"151451703,151458433,151461880,151463296,151474779,"	"151451961,151458656,151461950,151463468,151475556,"	AADACL2	NM_207365.3	1	1500	1363.54	21.00	0.53	0.29	100.00	21.00	0.53	0.29
NR_110202.1	3	-	151468966	151645963	151645963	151645963	4	"151468966,151472859,151492393,151645644,"	"151469299,151472919,151492453,151645963,"	AADACL2-AS1	NR_110202.1	0	772	635.55	0.00	0.00	0.00	0.00	83.42	4.99	2.76
NR_110203.1	3	-	151468966	151645963	151645963	151645963	3	"151468966,151492393,151645644,"	"151469299,151492453,151645963,"	AADACL2-AS1	NR_110203.1	0	712	575.55	83.42	4.99	2.76	100.00	83.42	4.99	2.76
NM_001103170.2	1	+	12776117	12788726	12776179	12785963	4	"12776117,12779476,12780884,12785188,"	"12776347,12779693,12780948,12788726,"	AADACL3	NM_001103170.2	1	4049	3912.54	8.00	0.07	0.04	100.00	8.00	0.07	0.04
NR_111984.1	1	+	12776117	12788726	12788726	12788726	3	"12776117,12780884,12785188,"	"12776347,12780948,12788726,"	AADACL3	NR_111984.1	0	3832	3695.54	0.00	0.00	0.00	0.00	8.00	0.07	0.04
NM_001013630.1	1	+	12704565	12727097	12704565	12726746	4	"12704565,12711141,12721801,12725971,"	"12704733,12711358,12721865,12727097,"	AADACL4	NM_001013630.1	1	1575	1438.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NR_026915.1	3	+	151488243	151502682	151502682	151502682	3	"151488243,151493482,151501619,"	"151488399,151493552,151502682,"	AADACP1	NR_026915.1	0	1289	1152.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_001286682.1	4	-	170981372	171011372	170982078	171010841	14	"170981372,170983042,170985869,170987564,170988477,170989741,170990298,170991737,170994286,170999659,171008266,171009546,171010762,171011294,"	"170982120,170983144,170985976,170987629,170988539,170989838,170990381,170991803,170994496,170999734,171008399,171009715,171010887,171011372,"	AADAT	NM_001286682.1	0	2120	1983.54	4.23	0.07	0.04	2.68	172.00	2.74	1.51
NM_001286683.1	4	-	170981372	171011538	170982078	171010841	14	"170981372,170983042,170985869,170987564,170988477,170989741,170990298,170991737,170994286,170999659,171008266,171009546,171010774,171011375,"	"170982120,170983144,170985976,170987629,170988539,170989838,170990381,170991803,170994496,170999734,171008399,171009715,171010887,171011538,"	AADAT	NM_001286683.1	0	2193	2056.54	0.00	0.00	0.00	0.00	172.00	2.74	1.51
NM_016228.3	4	-	170981372	171011183	170982078	171010841	13	"170981372,170983042,170985869,170987564,170988477,170989741,170990298,170991737,170994286,170999659,171008266,171009546,171010774,"	"170982120,170983144,170985976,170987629,170988539,170989838,170990381,170991803,170994496,170999734,171008399,171009715,171011183,"	AADAT	NM_016228.3	0	2326	2189.54	151.21	2.38	1.31	86.77	172.00	2.74	1.51
NM_182662.1	4	-	170981372	171011372	170982078	171010841	14	"170981372,170983042,170985869,170987564,170988477,170989741,170990298,170991737,170994286,170999659,171008266,171009546,171010774,171011294,"	"170982120,170983144,170985976,170987629,170988539,170989838,170990381,170991803,170994496,170999734,171008399,171009715,171010887,171011372,"	AADAT	NM_182662.1	1	2108	1971.54	16.56	0.29	0.16	10.55	172.00	2.74	1.51
NM_153698.1	9	-	99403532	99417599	99404040	99417563	6	"99403532,99408174,99413671,99413940,99416986,99417371,"	"99404168,99408306,99413777,99413994,99417055,99417599,"	AAED1	NM_153698.1	1	1225	1088.54	392.00	12.40	6.85	100.00	392.00	12.40	6.85
NM_001271885.1	15	-	67493012	67547536	67495158	67528779	10	"67493012,67495885,67496381,67500899,67501799,67524151,67528316,67528745,67528967,67547474,"	"67495236,67495935,67496486,67500996,67501882,67524235,67528406,67528842,67529158,67547536,"	AAGAB	NM_001271885.1	1	3083	2946.54	136.15	1.59	0.88	5.90	2410.00	26.97	14.91
NM_001271886.1	15	-	67493012	67547074	67495158	67528779	10	"67493012,67495885,67496381,67500899,67501799,67524151,67528316,67528745,67528967,67546751,"	"67495236,67495935,67496486,67500996,67501882,67524235,67528406,67528842,67529158,67547074,"	AAGAB	NM_001271886.1	0	3344	3207.54	343.23	3.68	2.04	13.66	2410.00	26.97	14.91
NM_024666.4	15	-	67493012	67547074	67495158	67546969	10	"67493012,67495885,67496381,67500899,67501799,67524151,67528316,67528745,67528967,67546896,"	"67495236,67495935,67496486,67500996,67501882,67524235,67528406,67528842,67529158,67547074,"	AAGAB	NM_024666.4	0	3199	3062.54	1930.63	21.70	11.99	80.45	2410.00	26.97	14.91
NM_014911.3	2	-	69685126	69870977	69703000	69870172	22	"69685126,69704011,69706082,69707991,69709842,69723116,69732700,69734552,69736362,69741602,69746085,69747965,69752164,69754347,69757139,69757756,69759172,69769654,69771567,69783991,69870009,69870706,"	"69703095,69704122,69706193,69708093,69709944,69723212,69732805,69734710,69736592,69741881,69746372,69748120,69752244,69754451,69757272,69757838,69759294,69769797,69771676,69784110,69870406,69870977,"	AAK1	NM_014911.3	1	21265	21128.54	6994.23	11.40	6.30	100.00	6994.23	11.40	6.30
NM_001316957	11	+	77532159	77611831	77553542	77611732	6	"77532159,77552064,77553524,77580767,77587995,77611616,"	"77532287,77552106,77553674,77580863,77588095,77611831,"	AAMDC	NM_001316957	0	731	594.55	2.27	0.13	0.07	1.15	150.27	11.41	6.31
NM_001316958	11	+	77532159	77611831	77553542	77611647	7	"77532159,77552064,77553524,77580767,77587995,77589747,77611616,"	"77532287,77552106,77553674,77580863,77588095,77589802,77611831,"	AAMDC	NM_001316958	0	786	649.55	2.05	0.11	0.06	0.95	150.27	11.41	6.31
NM_001316960	11	+	77532159	77583398	77553542	77583361	5	"77532159,77542940,77553524,77580767,77583220,"	"77532287,77543058,77553674,77580863,77583398,"	AAMDC	NM_001316960	0	670	533.55	16.58	1.07	0.59	9.37	150.27	11.41	6.31
NM_001316961	11	+	77532159	77583398	77553542	77583361	5	"77532159,77552064,77553524,77580767,77583220,"	"77532283,77552106,77553674,77580863,77583398,"	AAMDC	NM_001316961	0	590	453.55	0.00	0.00	0.00	0.00	150.27	11.41	6.31
NM_001316962	11	+	77532159	77583398	77553542	77583361	5	"77532159,77552064,77553524,77580767,77583220,"	"77532287,77552106,77553674,77580863,77583398,"	AAMDC	NM_001316962	0	594	457.55	64.62	4.86	2.69	42.60	150.27	11.41	6.31
NM_024684.2	11	+	77532159	77583398	77553542	77583361	4	"77532159,77553524,77580767,77583220,"	"77532287,77553674,77580863,77583398,"	AAMDC	NM_024684.2	1	552	415.55	59.65	4.94	2.73	43.31	150.27	11.41	6.31
NR_133637	11	+	77532159	77611831	77611831	77611831	5	"77532159,77553524,77580767,77595825,77611616,"	"77532287,77553674,77580863,77595962,77611831,"	AAMDC	NR_133637	0	726	589.55	5.11	0.30	0.16	2.61	150.27	11.41	6.31
NM_001087.4	2	-	219128851	219134932	219129255	219134809	11	"219128851,219129742,219130093,219130301,219130553,219130786,219131165,219131569,219132216,219134104,219134688,"	"219129331,219129897,219130184,219130405,219130669,219130870,219131310,219131709,219132336,219134257,219134932,"	AAMP	NM_001087.4	1	1832	1695.54	2997.17	60.85	33.63	89.11	3364.00	68.28	37.74
NM_001302545.1	2	-	219128851	219134932	219129255	219134809	11	"219128851,219129742,219130093,219130301,219130553,219130786,219131165,219131569,219132216,219134104,219134688,"	"219129331,219129897,219130184,219130405,219130669,219130870,219131310,219131709,219132336,219134260,219134932,"	AAMP	NM_001302545.1	0	1835	1698.54	366.83	7.43	4.11	10.89	3364.00	68.28	37.74
NM_001166579.1	17	+	74449432	74466199	74462254	74466052	7	"74449432,74455328,74458397,74461964,74464753,74465254,74465746,"	"74449864,74455448,74458562,74462314,74464991,74465409,74466199,"	AANAT	NM_001166579.1	1	1913	1776.54	4.81	0.09	0.05	16.23	18.00	0.57	0.32
NM_001088.2	17	+	74463629	74466199	74464828	74466052	4	"74463629,74464753,74465254,74465746,"	"74463809,74464991,74465409,74466199,"	AANAT	NM_001088.2	0	1026	889.54	0.00	0.00	0.00	0.00	18.00	0.57	0.32
NR_110548.1	17	+	74463629	74466199	74466199	74466199	4	"74463629,74464753,74465198,74465746,"	"74463809,74464991,74465409,74466199,"	AANAT	NR_110548.1	0	1082	945.54	13.20	0.48	0.27	83.77	18.00	0.57	0.32
NM_001271874.1	20	+	34824338	34844863	34827790	34843667	4	"34824338,34827742,34832618,34843499,"	"34824425,34828547,34832848,34844863,"	AAR2	NM_001271874.1	1	2486	2349.54	991.12	14.52	8.03	89.15	1126.00	16.29	9.00
NM_015511.4	20	+	34824338	34844863	34827790	34843667	4	"34824338,34827742,34832618,34843499,"	"34824704,34828547,34832848,34844863,"	AAR2	NM_015511.4	0	2765	2628.54	134.88	1.77	0.98	10.85	1126.00	16.29	9.00
NM_001025357.2	8	+	117950463	117956239	117950482	117954940	2	"117950463,117954796,"	"117950806,117956239,"	AARD	NM_001025357.2	1	1786	1649.54	32.81	0.68	0.38	100.00	32.81	0.68	0.38
NM_001605.2	16	-	70286296	70323412	70286623	70316666	21	"70286296,70287170,70287616,70287821,70288523,70289630,70291935,70292882,70294946,70296248,70298860,70299440,70301561,70302173,70303520,70304098,70305683,70310388,70310868,70316522,70323323,"	"70286809,70287284,70287703,70287941,70288637,70289739,70292120,70293089,70295060,70296427,70299005,70299565,70301712,70302282,70303666,70304243,70305875,70310534,70311057,70316687,70323412,"	AARS	NM_001605.2	1	3344	3207.54	8966.00	96.22	53.18	100.00	8966.00	96.22	53.18
NM_020745.3	6	-	44266462	44281063	44268283	44281060	22	"44266462,44268892,44269117,44269796,44270127,44270538,44270802,44271022,44271917,44272156,44272381,44272790,44273389,44274016,44274230,44274659,44274985,44278035,44278730,44279126,44279808,44280817,"	"44268448,44269003,44269201,44269907,44270250,44270647,44270912,44271160,44272058,44272270,44272554,44272935,44273523,44274128,44274269,44274768,44275131,44278180,44278898,44279272,44280000,44281063,"	AARS2	NM_020745.3	1	4782	4645.54	2291.90	16.98	9.39	100.00	2291.90	16.98	9.39
NM_001261434.1	17	-	41102542	41116515	41102609	41116457	12	"41102542,41103816,41105740,41106892,41107174,41107858,41108220,41108420,41109154,41113208,41116122,41116418,"	"41102745,41103911,41105795,41106984,41107241,41107989,41108337,41108577,41109212,41113368,41116254,41116515,"	AARSD1	NM_001261434.1	1	1364	1227.54	665.84	18.67	10.32	100.00	665.84	18.67	10.32
NM_001286668.1	4	-	57204450	57253674	57204567	57248693	14	"57204450,57209000,57209727,57211292,57215428,57217507,57219569,57220204,57220870,57221347,57237616,57244313,57248642,57253527,"	"57204957,57209132,57209850,57211456,57216224,57217623,57219762,57220377,57220977,57221589,57237809,57244630,57248763,57253674,"	AASDH	NM_001286668.1	0	3331	3194.54	111.93	1.21	0.67	16.34	684.00	7.38	4.08
NM_001286669.1	4	-	57204450	57253674	57204567	57244522	14	"57204450,57209000,57209727,57211292,57215428,57217507,57219569,57220204,57220870,57221347,57237616,57244313,57250235,57253527,"	"57204957,57209132,57209850,57211456,57216224,57217623,57219762,57220377,57220977,57221589,57237809,57244630,57250507,57253674,"	AASDH	NM_001286669.1	0	3482	3345.54	0.00	0.00	0.00	0.00	684.00	7.38	4.08
NM_001286670.1	4	-	57204450	57253674	57204567	57219690	12	"57204450,57209000,57209727,57211292,57215428,57217507,57219569,57221347,57237616,57248642,57250235,57253527,"	"57204957,57209132,57209850,57211456,57216224,57217623,57219762,57221589,57237809,57248763,57250507,57253674,"	AASDH	NM_001286670.1	0	3006	2869.54	0.00	0.00	0.00	0.00	684.00	7.38	4.08
NM_001286671.1	4	-	57204450	57253674	57204871	57250465	12	"57204450,57215428,57217507,57219569,57220204,57220870,57221347,57237616,57244313,57248642,57250235,57253527,"	"57204957,57216224,57217623,57219762,57220377,57220977,57221589,57237809,57244630,57248763,57250507,57253674,"	AASDH	NM_001286671.1	0	3184	3047.54	88.77	1.00	0.55	13.58	684.00	7.38	4.08
NM_181806.3	4	-	57204450	57253674	57204567	57250465	15	"57204450,57209000,57209727,57211292,57215428,57217507,57219569,57220204,57220870,57221347,57237616,57244313,57248642,57250235,57253527,"	"57204957,57209132,57209850,57211456,57216224,57217623,57219762,57220377,57220977,57221589,57237809,57244630,57248763,57250507,57253674,"	AASDH	NM_181806.3	1	3603	3466.54	310.79	3.09	1.71	41.80	684.00	7.38	4.08
NM_001286672.1	4	-	57215125	57253674	57215390	57250465	11	"57215125,57217507,57219569,57220204,57220870,57221347,57237616,57244313,57248642,57250235,57253527,"	"57216224,57217623,57219762,57220377,57220977,57221589,57237809,57244630,57248763,57250507,57253674,"	AASDH	NM_001286672.1	0	2980	2843.54	172.51	2.09	1.15	28.28	684.00	7.38	4.08
NM_015423.2	11	+	105948291	105969419	105948437	105967634	6	"105948291,105950193,105961283,105962042,105965309,105967469,"	"105948620,105950419,105961405,105962204,105965381,105969419,"	AASDHPPT	NM_015423.2	1	2861	2724.54	1538.77	19.44	10.75	100.00	1538.77	19.44	10.75
NM_005763.3	7	-	121713597	121784344	121716542	121773780	24	"121713597,121717891,121718915,121719650,121721553,121726065,121731756,121732896,121733101,121738503,121738798,121741424,121741674,121753171,121753651,121755127,121756686,121756932,121758360,121758616,121766428,121769414,121773570,121784214,"	"121716661,121718068,121719004,121719766,121721649,121726233,121731897,121733005,121733212,121738630,121738920,121741492,121741734,121753283,121753774,121755276,121756814,121757011,121758507,121758684,121766513,121769591,121773795,121784344,"	AASS	NM_005763.3	1	5871	5734.54	2876.16	17.26	9.54	100.00	2876.16	17.26	9.54
NR_026961.1	21	-	45225638	45232448	45232448	45232448	2	"45225638,45228681,"	"45226469,45232448,"	AATBC	NR_026961.1	0	4598	4461.54	493.00	3.80	2.10	100.00	493.00	3.80	2.10
NM_012138.3	17	+	35306174	35414171	35306425	35413964	12	"35306174,35307513,35310185,35311069,35343915,35345817,35346545,35348072,35376303,35378232,35388910,35413900,"	"35306516,35307705,35310596,35311207,35344030,35346019,35346710,35348156,35376371,35378313,35388982,35414171,"	AATF	NM_012138.3	1	2141	2004.54	2466.00	42.35	23.41	100.00	2466.00	42.35	23.41
NM_001080395.2	17	-	79091095	79139872	79092201	79139792	14	"79091095,79093179,79093735,79094000,79096993,79098526,79098729,79100226,79101382,79101591,79102269,79104860,79108167,79139737,"	"79092242,79093380,79093883,79096623,79097143,79098648,79098814,79100360,79101470,79101710,79102349,79105005,79108301,79139872,"	AATK	NM_001080395.2	1	5311	5174.54	0.00	0.00	0.00	0.00	112.05	0.78	0.43
NM_004920.2	17	-	79091095	79105748	79092201	79104885	13	"79091095,79093179,79093735,79094000,79096993,79098526,79098729,79100226,79101382,79101591,79102269,79104860,79105701,"	"79092242,79093380,79093883,79096623,79097143,79098648,79098814,79100360,79101470,79101710,79102349,79105005,79105748,"	AATK	NM_004920.2	0	5089	4952.54	112.05	0.78	0.43	100.00	112.05	0.78	0.43
NR_027255.1	17	+	79139306	79156964	79156964	79156964	6	"79139306,79140476,79152717,79154922,79155358,79156764,"	"79139547,79140644,79152952,79155132,79155881,79156964,"	AATK-AS1	NR_027255.1	0	1577	1440.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NR_131907.1	20	+	30309309	30311212	30311212	30311212	1	"30309309,"	"30311212,"	ABALON	NR_131907.1	0	1903	1766.54	508.62	9.91	5.48	100.00	508.62	9.91	5.48
NM_020686.5	16	+	8768443	8878432	8829596	8875287	16	"8768443,8829555,8839857,8841964,8844278,8851613,8857925,8858594,8860064,8862049,8862681,8866636,8868746,8870200,8873335,8875165,"	"8768568,8829666,8839955,8841994,8844396,8851663,8858006,8858687,8860127,8862113,8862830,8866774,8868914,8870347,8873447,8878432,"	ABAT	NM_020686.5	1	4814	4677.54	869.94	6.40	3.54	93.53	940.00	6.84	3.78
NM_000663.4	16	+	8806825	8878432	8829596	8875287	16	"8806825,8829555,8839857,8841964,8844278,8851613,8857925,8858594,8860064,8862049,8862681,8866636,8868746,8870200,8873335,8875165,"	"8807722,8829666,8839955,8841994,8844396,8851663,8858006,8858687,8860127,8862113,8862830,8866774,8868914,8870347,8873447,8878432,"	ABAT	NM_000663.4	0	5586	5449.54	70.06	0.44	0.24	6.47	940.00	6.84	3.78
NM_001127448.1	16	+	8814572	8878432	8829596	8875287	16	"8814572,8829555,8839857,8841964,8844278,8851613,8857925,8858594,8860064,8862049,8862681,8866636,8868746,8870200,8873335,8875165,"	"8814791,8829666,8839955,8841994,8844396,8851663,8858006,8858687,8860127,8862113,8862830,8866774,8868914,8870347,8873447,8878432,"	ABAT	NM_001127448.1	0	4908	4771.54	0.00	0.00	0.00	0.00	940.00	6.84	3.78
NM_005502.3	9	-	107543283	107690527	107546595	107665960	50	"107543283,107547676,107548578,107549153,107550200,107550706,107553202,107554216,107555066,107555451,107556667,107558333,107558589,107560701,107562099,107562790,107564334,107565564,107566906,107568521,107571746,107573080,107574854,107576398,107576707,107578423,107579612,107580943,107581866,107582207,107583655,107584776,107586745,107587963,107589228,107591196,107593205,107593902,107594854,107599260,107599708,107602559,107607757,107620802,107623959,107645319,107646707,107651382,107665894,107690215,"	"107546736,107547920,107548671,107549257,107550335,107550848,107553309,107554279,107555187,107555581,107556791,107558478,107558705,107560879,107562269,107562865,107564440,107565597,107567001,107568711,107571845,107573205,107575003,107576512,107576756,107578626,107579685,107581164,107582004,107582350,107583787,107584948,107586859,107588168,107589450,107591419,107593382,107594108,107595052,107599377,107599848,107602800,107607850,107620979,107624081,107645438,107646849,107651476,107666052,107690527,"	ABCA1	NM_005502.3	1	10502	10365.54	3992.00	13.26	7.33	100.00	3992.00	13.26	7.33
NM_080282.3	17	-	67144147	67240956	67144967	67221499	40	"67144147,67145173,67146124,67148183,67148502,67149445,67149611,67149971,67150375,67151159,67151945,67152972,67160214,67161104,67170421,67170747,67171546,67178293,67178815,67181617,67183821,67186498,67187316,67188703,67189250,67189633,67189954,67190525,67193204,67197640,67210844,67211955,67212357,67215685,67217932,67218673,67221465,67223285,67224721,67240669,"	"67145066,67145229,67146204,67148324,67148622,67149540,67149687,67150150,67150467,67151277,67152066,67153064,67160295,67161224,67170535,67170918,67171654,67178431,67178949,67181784,67184020,67186618,67187456,67188794,67189389,67189753,67190130,67190636,67193263,67197809,67210992,67212141,67212499,67215912,67218036,67218838,67221670,67223426,67225001,67240956,"	ABCA10	NM_080282.3	1	6331	6194.54	65.08	0.36	0.20	100.00	65.08	0.36	0.20
NR_002451.2	4	-	419223	467998	467998	467998	3	"419223,466363,467769,"	"420762,466490,467998,"	ABCA11P	NR_002451.2	0	1895	1758.54	257.10	5.03	2.78	100.00	257.10	5.03	2.78
